name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mycobacterium	11582	G	214213	35535	249748	0.07088
Corynebacterium	11570	G	61051	21870	82921	0.02353
Rhodococcus	11584	G	12442	4626	17068	0.00484
Nocardia	11583	G	8490	2253	10743	0.00305
Gordonia	11572	G	6114	3335	9449	0.00268
Tsukamurella	11591	G	4209	77	4286	0.00122
Lawsonella	11579	G	3584	12267	15851	0.00450
Williamsia	11592	G	1222	242	1464	0.00042
Hoyosella	11574	G	1140	800	1940	0.00055
Lolliginicoccus	11580	G	1091	64	1155	0.00033
Antrihabitans	11568	G	921	190	1111	0.00032
Williamsia_A	11593	G	829	435	1264	0.00036
Williamsia_B	11594	G	192	53	245	0.00007
Dietzia	11571	G	142	308	450	0.00013
Tomitella	11590	G	113	7	120	0.00003
ID1734	11575	G	63	83	146	0.00004
Aldersonia	11567	G	19	7	26	0.00001
Smaragdicoccus	11589	G	19	4	23	0.00001
Skermania	11588	G	16	3	19	0.00001
CAKZIX01	11569	G	15	28	43	0.00001
JABFVX01	11577	G	11	13	24	0.00001
Saccharopolyspora	11632	G	2376	106	2482	0.00070
Pseudonocardia	11627	G	1273	284	1557	0.00044
Amycolatopsis	11606	G	1193	441	1634	0.00046
Thermocrispum	11639	G	843	1087	1930	0.00055
GCA-003244245	11611	G	411	39	450	0.00013
Actinokineospora	11599	G	359	53	412	0.00012
Kutzneria	11620	G	140	59	199	0.00006
Actinoalloteichus	11597	G	119	22	141	0.00004
CAJCJE01	11609	G	111	27	138	0.00004
Actinomycetospora	11600	G	110	35	145	0.00004
Crossiella	11610	G	103	39	142	0.00004
Tamaricihabitans	11638	G	65	13	78	0.00002
Lentzea	11622	G	55	20	75	0.00002
Amycolatopsis_D	11608	G	44	4	48	0.00001
Saccharomonospora_A	11631	G	43	26	69	0.00002
Prauserella_A	11625	G	36	65	101	0.00003
Saccharomonospora	11630	G	30	8	38	0.00001
Amycolatopsis_C	11607	G	29	6	35	0.00001
Actinosynnema	11603	G	29	18	47	0.00001
Kibdelosporangium	11619	G	28	6	34	0.00001
Sciscionella	11635	G	24	0	24	0.00001
Actinopolyspora	11602	G	18	0	18	0.00001
Micromonospora	11544	G	1666	626	2292	0.00065
Natronoglycomyces	11550	G	491	6	497	0.00014
Actinoplanes	11526	G	428	84	512	0.00015
Stackebrandtia	11562	G	198	32	230	0.00007
Glycomyces	11536	G	176	24	200	0.00006
RSA1	11558	G	112	62	174	0.00005
Catelliglobosispora	11532	G	101	3	104	0.00003
WHSM01	11565	G	72	13	85	0.00002
Virgisporangium	11564	G	57	10	67	0.00002
Phytomonospora	11553	G	26	4	30	0.00001
Plantactinospora	11556	G	15	4	19	0.00001
Catenuloplanes	11533	G	14	4	18	0.00001
Dactylosporangium	11534	G	14	3	17	0.00000
UBA11056	11563	G	12	1	13	0.00000
Blastococcus	11487	G	153	157	310	0.00009
Geodermatophilus	11488	G	56	43	99	0.00003
JACCQS01	11490	G	33	1	34	0.00001
Modestobacter	11494	G	10	8	18	0.00001
Parafrankia	11484	G	275	53	328	0.00009
Frankia	11480	G	21	4	25	0.00001
Nakamurella	11596	G	229	144	373	0.00011
QHCC01	11520	G	72	8	80	0.00002
JAFAWL01	11513	G	70	6	76	0.00002
Jatrophihabitans_A	11518	G	16	3	19	0.00001
RYN-124	11657	G	91	0	91	0.00003
RYN-111	11655	G	20	7	27	0.00001
SCTD01	11659	G	18	9	27	0.00001
JABFVL01	11647	G	78	1	79	0.00002
Cumulibacter	11474	G	49	14	63	0.00002
Cryptosporangium	11479	G	28	8	36	0.00001
CADCTP01	11477	G	18	14	32	0.00001
Fodinicola	11498	G	11	0	11	0.00000
Microbacterium	11371	G	23435	26671	50106	0.01422
Rhodoluna	11395	G	13409	195	13604	0.00386
Pontimonas	11383	G	2516	63	2579	0.00073
Aquiluna	11327	G	2333	261	2594	0.00074
Leucobacter	11366	G	2098	398	2496	0.00071
Aurantimicrobium	11329	G	2039	339	2378	0.00067
Agromyces	11324	G	828	155	983	0.00028
Rhodoglobus	11394	G	633	55	688	0.00020
Cryobacterium	11337	G	614	57	671	0.00019
CAIOLM01	11330	G	582	62	644	0.00018
Diaminobutyricibacter	11340	G	559	98	657	0.00019
Leucobacter_A	11367	G	529	267	796	0.00023
Gulosibacter	11347	G	490	296	786	0.00022
JALRLI01	11357	G	475	121	596	0.00017
Curtobacterium	11338	G	455	137	592	0.00017
MWH-TA3	11369	G	421	108	529	0.00015
JAHBSP01	11355	G	225	20	245	0.00007
HNR	11348	G	185	19	204	0.00006
Pseudoclavibacter_A	11385	G	158	13	171	0.00005
Homoserinimonas	11351	G	149	34	183	0.00005
Plantibacter	11382	G	147	40	187	0.00005
Canibacter	11332	G	126	10	136	0.00004
Schumannella	11398	G	93	27	120	0.00003
Subtercola	11399	G	90	9	99	0.00003
Rathayibacter	11393	G	71	23	94	0.00003
Frigoribacterium	11342	G	69	33	102	0.00003
Lacisediminihabitans	11363	G	61	4	65	0.00002
Glaciihabitans	11345	G	59	4	63	0.00002
CAJXVY01	11331	G	58	0	58	0.00002
Mycetocola_A	11376	G	53	4	57	0.00002
Microcella	11373	G	40	33	73	0.00002
Leifsonia	11364	G	33	12	45	0.00001
UBA963	11403	G	24	3	27	0.00001
Alpinimonas	11325	G	21	2	23	0.00001
Leifsonia_A	11365	G	21	6	27	0.00001
Amnibacterium	11326	G	20	28	48	0.00001
Planctomonas	11381	G	18	3	21	0.00001
Terrimesophilobacter	11400	G	18	10	28	0.00001
Herbiconiux	11349	G	14	7	21	0.00001
Agreia	11322	G	13	1	14	0.00000
Demequina	11241	G	46332	11417	57749	0.01639
WTKG01	11244	G	463	0	463	0.00013
Arcanobacterium_A	11154	G	4247	541	4788	0.00136
